id,booking_id,admin_id,status_before,status_after,note,created_at
0ef214d9-c70a-41cb-a646-3720b6845711,37f375d2-21de-4263-90e5-f3520c3c0e42,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 18:56:09.220353+00
168b5ecc-98e4-413e-a545-8674930eecdd,110c91ff-db68-4479-8f0a-54ea3253ecba,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,no_show,,2025-09-20 00:45:26.47135+00
176d7de4-ac7d-4236-92de-7779e5155374,0567eea9-51aa-458f-bc80-64fb16446f1f,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 00:46:09.428134+00
22c51d08-34da-4d04-a7ab-8bf71ecbc921,7be193aa-a761-4e03-9943-fdc745123027,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-20 00:45:06.074579+00
2cd876d1-111d-40a1-b7e7-c21aca694a70,cb239e11-2569-4d5d-9769-772e6884f9ce,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:42.821079+00
35ec0d13-a96e-49bf-b7cb-c723281852cf,3d4fa048-f649-4ad4-aa3e-0824c25d64ac,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-13 02:16:12.89567+00
40efcfdc-e342-406e-8e5d-5ccd63d0fbda,aaed38c5-be61-4edc-931b-f15c65e7a9f5,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-21 03:55:53.850769+00
4ba644a6-3734-429a-b24e-71b34e10e484,dfcf7a94-1b30-4c72-aa80-ab2654c4cc29,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 19:47:28.418984+00
5ae1db10-ddf6-49e6-ad6b-6cddd06b6334,dba4e8e3-4093-4f6f-8211-4d65521ddf51,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 18:55:57.589693+00
5f1a0459-d353-4b45-aa82-41c37fc212c7,f9167aac-19ba-4313-a5e6-d279d2bc1d6c,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:44.673564+00
64690a0e-9359-4a5e-ae8b-a26b9e46822d,070ac016-3775-4f59-8658-4dc4fd884726,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:49.51402+00
6e55fe7c-46b3-426d-915e-ca491bf693a4,49977e1c-2d08-47b6-852e-f9cd2201e71d,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-21 03:55:52.1661+00
7191dfc9-eafe-4e3f-95e7-bedb68607b05,e38f10d5-8f2f-4afb-804e-fb93d8f1a23e,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:47.301715+00
72af2fc4-2c56-4d2d-addc-4e6121984a06,7fc45815-d5d8-40d4-8d66-937a3fa1cd95,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,no_show,,2025-09-22 15:41:58.99544+00
74d84723-f6fd-4269-b121-7946eda12c2d,6e27d24c-cf97-4152-b1b0-fcd77d97afd2,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-16 16:36:10.040047+00
75de88ac-8d4a-41aa-b496-a1f7401cee55,a1b21600-942a-4305-bb15-3d9ff84a917e,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-21 03:55:44.798175+00
8395ad77-e440-4cc5-8471-00f46ec40740,e830abf2-ee0b-4c53-93e8-15c9544eaa43,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-12 06:38:56.654103+00
8c771961-82bd-4b27-a4e4-091bc172fc38,bf1551d4-d52c-49ed-b14c-4a63a088c64c,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-21 03:55:49.340181+00
8ca34dd3-0ad5-44c1-9ea6-48b7e14e48c3,a64c7890-c842-4b68-8455-c3bf88e6eb96,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-12 06:39:00.896122+00
8dc154c4-f938-4084-8c88-0bd99c476250,aac390f4-4a79-4db9-abae-96e7af3e79e8,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:56.311142+00
8e0dee97-0e1f-421b-aace-c81c38fc3f1a,488c1bfd-e996-4daa-b1c5-cf1b74092ca4,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 00:46:15.693316+00
907ad798-3ad7-4ef7-86ff-64baddd9bd1a,f7f2c57d-61e5-487d-a686-3859484f171a,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,no_show,,2025-09-18 21:10:22.215291+00
90c844b8-a0f4-4cd3-bb37-75b2e4dccc4a,37289ab2-b8ba-48e5-bb6c-10b31ddd7d27,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:38.741504+00
95c4949e-f374-453a-adbc-471fba9a0cd5,6b146197-31d4-475f-b97d-51bca7419dcb,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,no_show,,2025-09-25 14:56:39.143745+00
96db23b0-c824-4598-9c38-49bad42edd02,2ffa9605-a585-4ca4-9b0e-d1aa24cf9841,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 18:56:04.272737+00
9ba48cb8-69af-4949-99c1-b0cbe17ef83f,7bff6942-6b12-47fd-b31e-138deebbd563,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,no_show,,2025-09-27 00:46:32.207681+00
9fc2cceb-8323-407f-9a72-0539a1e2b547,ac1cd542-710c-49c5-9bae-b7b58371ae52,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,no_show,,2025-09-18 21:10:44.738221+00
a1726323-f97b-4bbd-819e-c1bda780d047,aa6b9b77-d367-4da0-b96c-fd182367dbb8,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-20 00:45:09.883633+00
a6074989-0a01-4364-b391-5c73ca44c42c,d90ee671-fa08-4a4b-93af-70348a5d0947,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 18:56:06.537339+00
a85457be-215c-4926-b3c1-d137d95afbe5,11b157c7-f8fb-4ed8-917b-9f9477c99da0,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:40.990973+00
ad0b54e5-dc56-49b6-b3bd-e460fa525bb8,415a53a1-fb0b-4d35-a693-ad6dc5c0ef44,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 19:47:27.395601+00
ad28f2f3-ac57-4f95-9b2f-fc71aa67dc39,d9f88325-ffc2-4ce6-8c4c-367545e56238,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 18:56:12.732234+00
d1207456-1a60-4064-842b-a00432ce523c,5983efa2-e897-4ca4-a3f8-eb7272e435ad,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-21 03:55:43.19405+00
da6ba1b5-6f24-49c5-9b06-adf9e1033af8,6349bc52-75a8-4455-8a9e-4e8e75c36eb2,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 18:56:00.175856+00
db2bd58c-0d6f-49c1-91a9-2dc4e9a8f591,a141b542-f8d7-4b0f-9288-913b113b565f,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-22 15:41:53.700017+00
dd35eb20-8072-46dc-a2fa-08c66e97e38d,0c6442dc-effe-4b14-975b-384227f30de0,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 18:56:02.232669+00
e045b69f-1b30-4323-807d-0c2751bd8d5d,99079062-a6fe-42f9-88d8-a5147efaacd5,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,no_show,,2025-09-18 21:08:37.707211+00
f148b51d-fbe3-4b8c-9846-5da978e7c392,4051498b-a4a5-4903-9483-3800602ba2de,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-20 00:45:03.900699+00
f56720d9-a569-4c53-a20e-1d45023ee509,83ce4911-daef-4041-a098-18a9395a55fd,1d5869bb-6e12-48e1-a179-d7b51246db51,reserved,attended,,2025-09-27 00:46:13.056953+00
